"Topic", "Question", "Option A", "Option B", "Option C", "Option D", "Correct Answer"
"Recursion", "What is 'backtracking' in the context of recursion?", "A. Going back to the previous state to explore other possibilities when a path doesn't lead to a solution.", "B. Reversing the order of recursive calls.", "C. An optimization for tail recursion.", "D. A method to avoid infinite loops.", "A"
"Recursion", "Which of the following is a classic example of a problem solved with backtracking recursion?", "A. Factorial calculation.", "B. Finding the shortest path in a graph (e.g., Dijkstra).", "C. Generating subsets of a set.", "D. Sorting an array.", "C"
"Recursion", "When converting a recursive function to an iterative one, what explicit data structure might you need to use?", "A. Queue", "B. Hash Table", "C. Stack", "D. Tree", "C"
"Recursion", "What is the main conceptual benefit of writing a recursive solution over an iterative one for certain problems?", "A. Always faster execution.", "B. Less memory consumption.", "C. More closely mirrors the mathematical definition or problem structure, leading to cleaner code.", "D. Easier to debug.", "C"
"Recursion", "What does it mean for a recursive function to have 'overlapping subproblems'?", "A. The subproblems are completely independent.", "B. The same subproblems are solved multiple times during the recursion.", "C. The subproblems are solved in parallel.", "D. The subproblems are always sorted.", "B"
"Recursion", "What is the recursive definition of greatest common divisor (GCD) using the Euclidean algorithm?", "A. `GCD(a, b) = GCD(b, a % b)` with base `GCD(a, 0) = a`.", "B. `GCD(a, b) = GCD(a-b, b)`.", "C. `GCD(a, b) = a * b`.", "D. `GCD(a, b) = a + b`.", "A"
"Recursion", "What is the output of `func(5)` in the following pseudocode: `function func(n): if n == 1 then return 1 else return n + func(n-2)`?", "A. 15", "B. 9", "C. 10", "D. Infinite loop", "B"
"Recursion", "Can recursion be used to implement infinite loops?", "A. No, only iterative loops can be infinite.", "B. Yes, if there is no proper base case or the base case is never reached.", "C. Only in specific programming languages.", "D. Only for positive numbers.", "B"
"Recursion", "What is the relationship between 'divide and conquer' and recursion?", "A. They are unrelated concepts.", "B. Divide and conquer is a problem-solving paradigm, and recursion is a common technique to implement it.", "C. Recursion is a type of divide and conquer algorithm.", "D. Divide and conquer avoids recursion.", "B"
"Recursion", "Which of the following is an example of a problem where an iterative solution might be preferred over a recursive one due to stack limitations?", "A. Factorial of a very large number.", "B. Traversing a small binary tree.", "C. Fibonacci sequence for small n.", "D. Tower of Hanoi for small disks.", "A"
"Recursion", "What is the recursion depth for finding an element in a binary search tree of height `h`?", "A. O(1)", "B. O(log h)", "C. O(h)", "D. O(n)", "C"
"Recursion", "What happens to local variables of a recursive function when it calls itself?", "A. They are shared across all calls.", "B. A new set of local variables is created for each call on the stack.", "C. They are deleted.", "D. They become global variables.", "B"
"Recursion", "What is the output of `func(0)` for: `function func(n): if n > 0 then return n * func(n-1) else return 1`?", "A. 0", "B. 1", "C. Error", "D. Infinite loop", "B"
"Recursion", "When converting a recursive solution to dynamic programming, what is the 'bottom-up' approach called?", "A. Memoization", "B. Tabulation", "C. Backtracking", "D. Divide and Conquer", "B"
"Backtracking", "Which of the following best describes backtracking?", "A. A technique to sort elements in reverse order.", "B. A brute-force algorithmic paradigm that finds all (or some) solutions by systematically searching through a solution space.", "C. A method to always find the optimal solution.", "D. A technique to avoid recursion.", "B"
"Backtracking", "What is the core idea of backtracking?", "A. To eliminate possibilities one by one.", "B. To build a solution step-by-step, and if a partial solution cannot be completed, undo the last step and try another path.", "C. To always choose the best immediate option.", "D. To use a queue to manage states.", "B"
"Backtracking", "Which data structure is implicitly or explicitly used in backtracking to keep track of the current path and enable undoing steps?", "A. Queue", "B. Stack", "C. Hash Table", "D. Linked List", "B"
"Backtracking", "When does backtracking 'prune' the search space?", "A. When a solution is found.", "B. When a partial solution is determined to be invalid or cannot lead to a valid solution.", "C. When all possible solutions are explored.", "D. When the input is too large.", "B"
"Backtracking", "Which of the following problems is a classic example solved using backtracking?", "A. Finding the factorial of a number.", "B. Sorting an array.", "C. N-Queens Problem.", "D. Calculating Fibonacci numbers iteratively.", "C"
"Backtracking", "In the N-Queens problem, what does backtracking primarily help to avoid?", "A. Placing queens on the same row.", "B. Placing queens on the same column.", "C. Placing queens on the same diagonal.", "D. Exploring invalid board configurations that won't lead to a solution.", "D"
"Backtracking", "What is the purpose of the 'explore' step in a backtracking algorithm?", "A. To check if a solution is found.", "B. To add an element to the current partial solution and recursively call the function.", "C. To remove an element from the current partial solution.", "D. To print the final solution.", "B"
"Backtracking", "What is the purpose of the 'undo' or 'backtrack' step?", "A. To confirm a solution.", "B. To remove the last added element from the partial solution, effectively trying a different branch.", "C. To restart the algorithm from scratch.", "D. To clean up memory.", "B"
"Backtracking", "What is the time complexity of a backtracking algorithm for solving a problem with `N` choices at each step and `M` steps (worst case, without pruning)?", "A. O(N * M)", "B. O(N + M)", "C. O(N^M)", "D. O(M^N)", "C"
"Backtracking", "Is backtracking guaranteed to find an optimal solution?", "A. Yes, always.", "B. No, it finds *all* (or some) valid solutions, optimality depends on additional logic.", "C. Only if the problem has unique solutions.", "D. Only for small inputs.", "B"
"Backtracking", "Which of the following is a common application of backtracking?", "A. Compiling source code.", "B. Solving Sudoku puzzles.", "C. Implementing a web server.", "D. Optimizing database queries.", "B"
"Backtracking", "What is the primary difference between recursion and backtracking?", "A. Recursion is always for sorting; backtracking is for searching.", "B. Backtracking is a specific algorithmic technique built on recursion that explores paths and reverts.", "C. Recursion avoids stacks; backtracking requires them.", "D. They are completely unrelated.", "B"
"Backtracking", "In generating all permutations of a string, when does backtracking occur?", "A. After printing a full permutation.", "B. When a character has been placed, and all possibilities for the remaining positions are explored, then that character is 'unplaced' to try another.", "C. When the string is empty.", "D. At the beginning of the function.", "B"
"Backtracking", "What is a 'state space tree' in the context of backtracking?", "A. A tree that stores all variables.", "B. A tree that represents all possible partial solutions and their extensions.", "C. A tree that is always sorted.", "D. A tree used for network routing.", "B"
"Backtracking", "What is 'pruning' in backtracking?", "A. Adding more branches to the search tree.", "B. Eliminating branches of the state space tree that cannot lead to a valid solution.", "C. Rearranging the order of branches.", "D. Merging multiple solutions.", "B"
"Backtracking", "Which problem involves finding a path in a grid from start to end, visiting each cell exactly once?", "A. N-Queens", "B. Hamiltonian Cycle (or Path)", "C. Subset Sum", "D. Traveling Salesperson Problem (TSP)", "B"
"Backtracking", "When solving the Subset Sum problem using backtracking, what is the 'choice' at each step?", "A. To include the current element in the subset or not.", "B. To sort the elements or not.", "C. To find the largest element.", "D. To find the smallest element.", "A"
"Backtracking", "What is the difference between backtracking and brute force?", "A. Backtracking is always faster than brute force.", "B. Backtracking is a type of brute force, but it systematically prunes the search space.", "C. Brute force uses recursion, backtracking uses iteration.", "D. Brute force doesn't explore all options.", "B"
"Backtracking", "What type of problems are most suitable for backtracking?", "A. Optimization problems (finding the best solution).", "B. Decision problems (yes/no answer).", "C. Enumeration/Search problems (finding all or some solutions satisfying constraints).", "D. Sorting problems.", "C"
"Backtracking", "Is the Traveling Salesperson Problem (TSP) typically solved exactly with backtracking for large inputs?", "A. Yes, it's very efficient.", "B. No, it's NP-hard, so backtracking is too slow for large inputs; heuristics are used.", "C. Only if the graph is small.", "D. TSP is not a backtracking problem.", "B"
